,agency,sku,volume,date,industry_volume,soda_volume,avg_max_temp,price_regular,price_actual,discount,avg_population_2017,avg_yearly_household_income_2017,easter_day,good_friday,new_year,christmas,labor_day,independence_day,revolution_day_memorial,regional_games,fifa_u_17_world_cup,football_gold_cup,beer_capital,music_fest,discount_in_percent,timeseries
228,Agency_16,SKU_05,1160.2962,2013-01-01,492612703,718394219,22.21973684,1295.2335,1200.981069,94.252431,1232242,246911,0,0,1,0,0,0,0,0,0,0,0,0,7.276867916093893,58
227,Agency_05,SKU_01,8780.508,2013-01-01,492612703,718394219,24.07901235,1173.269642,1072.512848,100.756794,3044268,182944,0,0,1,0,0,0,0,0,0,0,0,0,8.587692921828792,19
226,Agency_02,SKU_04,6256.3851,2013-01-01,492612703,718394219,22.14791667,1657.989782,1489.516871,168.472911,3137874,240809,0,0,1,0,0,0,0,0,0,0,0,0,10.161275589815427,63
225,Agency_16,SKU_02,3.24,2013-01-01,492612703,718394219,22.21973684,1205.375,1121.845833,83.529167,1232242,246911,0,0,1,0,0,0,0,0,0,0,0,0,6.929724525562585,59
224,Agency_56,SKU_04,1683.8928,2013-01-01,492612703,718394219,21.20731707,1733.1599620000002,1582.158415,151.001547,1901290,206553,0,0,1,0,0,0,0,0,0,0,0,0,8.712499152458495,72
223,Agency_12,SKU_03,510.6456,2013-01-01,492612703,718394219,22.21973684,1250.61124,1157.050899,93.56034100000001,1596955,205376,0,0,1,0,0,0,0,0,0,0,0,0,7.481169048184791,78
222,Agency_02,SKU_34,106.6425,2013-01-01,492612703,718394219,22.14791667,1101.9050849999999,1101.9050849999999,0.0,3137874,240809,0,0,1,0,0,0,0,0,0,0,0,0,0.0,67
221,Agency_28,SKU_05,1.6614,2013-01-01,492612703,718394219,29.96875,1534.6478869999999,1534.6478869999999,0.0,68666,133669,0,0,1,0,0,0,0,0,0,0,0,0,0.0,31
229,Agency_24,SKU_03,0.0,2013-01-01,492612703,718394219,25.845238100000003,0.0,0.0,0.0,42122,93027,0,0,1,0,0,0,0,0,0,0,0,0,0.0,84
220,Agency_05,SKU_04,4036.1796,2013-01-01,492612703,718394219,24.07901235,1754.5836530000001,1529.325221,225.25843199999997,3044268,182944,0,0,1,0,0,0,0,0,0,0,0,0,12.838283977788773,20
240,Agency_35,SKU_04,0.0,2013-01-01,492612703,718394219,21.3125,0.0,0.0,0.0,14138,93105,0,0,1,0,0,0,0,0,0,0,0,0,0.0,88
242,Agency_11,SKU_05,0.0,2013-01-01,492612703,718394219,25.36,0.0,0.0,0.0,135561,100461,0,0,1,0,0,0,0,0,0,0,0,0,0.0,17
260,Agency_52,SKU_05,961.4394,2013-01-01,492612703,718394219,30.59489796,1297.265653,1136.518213,160.74743999999998,149811,131764,0,0,1,0,0,0,0,0,0,0,0,0,12.39125075332585,46
259,Agency_05,SKU_14,0.0,2013-01-01,492612703,718394219,24.07901235,0.0,0.0,0.0,3044268,182944,0,0,1,0,0,0,0,0,0,0,0,0,0.0,24
258,Agency_57,SKU_23,0.0,2013-01-01,492612703,718394219,22.21973684,0.0,0.0,0.0,2212416,187351,0,0,1,0,0,0,0,0,0,0,0,0,0.0,40
257,Agency_52,SKU_02,1044.684,2013-01-01,492612703,718394219,30.59489796,1151.660504,1069.407354,82.25315,149811,131764,0,0,1,0,0,0,0,0,0,0,0,0,7.142135179101358,47
256,Agency_15,SKU_01,959.58,2013-01-01,492612703,718394219,22.21973684,1205.388421,1148.291889,57.096531999999996,200260,104564,0,0,1,0,0,0,0,0,0,0,0,0,4.736774553768506,91
255,Agency_37,SKU_18,1.0998,2013-01-01,492612703,718394219,26.505,1185.319149,1113.75,71.569149,32769,96761,0,0,1,0,0,0,0,0,0,0,0,0,6.037964463864407,6
254,Agency_11,SKU_04,230.3595,2013-01-01,492612703,718394219,25.36,1744.5724059999998,1594.7905289999999,149.781877,135561,100461,0,0,1,0,0,0,0,0,0,0,0,0,8.58559246293616,15
253,Agency_43,SKU_05,369.342,2013-01-01,492612703,718394219,21.76637931,1280.121955,1132.621048,147.500907,184082,106262,0,0,1,0,0,0,0,0,0,0,0,0,11.522410534705656,99
241,Agency_56,SKU_03,3647.5290000000005,2013-01-01,492612703,718394219,21.20731707,1253.53154,1112.066564,141.464976,1901290,206553,0,0,1,0,0,0,0,0,0,0,0,0,11.285314448490064,73
252,Agency_52,SKU_01,118.8,2013-01-01,492612703,718394219,30.59489796,1150.0,1082.4636369999998,67.536363,149811,131764,0,0,1,0,0,0,0,0,0,0,0,0,5.872727217391304,43
250,Agency_43,SKU_01,224.856,2013-01-01,492612703,718394219,21.76637931,1177.632728,1101.0733460000001,76.559382,184082,106262,0,0,1,0,0,0,0,0,0,0,0,0,6.5011255359744045,96
249,Agency_35,SKU_32,0.1917,2013-01-01,492612703,718394219,21.3125,1436.93662,1436.93662,0.0,14138,93105,0,0,1,0,0,0,0,0,0,0,0,0,0.0,90
248,Agency_02,SKU_03,7332.0282,2013-01-01,492612703,718394219,22.14791667,1250.300782,1129.909681,120.391101,3137874,240809,0,0,1,0,0,0,0,0,0,0,0,0,9.628971103050946,64
247,Agency_24,SKU_21,0.0,2013-01-01,492612703,718394219,25.845238100000003,0.0,0.0,0.0,42122,93027,0,0,1,0,0,0,0,0,0,0,0,0,0.0,87
246,Agency_52,SKU_03,44.7534,2013-01-01,492612703,718394219,30.59489796,1236.408016,848.382486,388.02553,149811,131764,0,0,1,0,0,0,0,0,0,0,0,0,31.383291355173483,45
245,Agency_16,SKU_04,1623.4434,2013-01-01,492612703,718394219,22.21973684,1739.124518,1599.378263,139.746255,1232242,246911,0,0,1,0,0,0,0,0,0,0,0,0,8.03543700026199,56
244,Agency_28,SKU_04,42.6213,2013-01-01,492612703,718394219,29.96875,1895.508161,1710.195272,185.31288899999998,68666,133669,0,0,1,0,0,0,0,0,0,0,0,0,9.776422640261057,29
243,Agency_05,SKU_03,632.0466,2013-01-01,492612703,718394219,24.07901235,1291.542455,1190.558102,100.984353,3044268,182944,0,0,1,0,0,0,0,0,0,0,0,0,7.818895353308382,21
251,Agency_43,SKU_02,95.47200000000001,2013-01-01,492612703,718394219,21.76637931,1135.30605,1032.262285,103.04376500000001,184082,106262,0,0,1,0,0,0,0,0,0,0,0,0,9.076298413101913,100
261,Agency_09,SKU_21,0.0,2013-01-01,492612703,718394219,30.82888889,0.0,0.0,0.0,1646094,213511,0,0,1,0,0,0,0,0,0,0,0,0,0.0,53
219,Agency_16,SKU_07,16.3725,2013-01-01,492612703,718394219,22.21973684,1135.772543,1117.681453,18.091089999999998,1232242,246911,0,0,1,0,0,0,0,0,0,0,0,0,1.592844457413512,60
217,Agency_28,SKU_02,47.088,2013-01-01,492612703,718394219,29.96875,1124.625573,1119.53168,5.0938930000000004,68666,133669,0,0,1,0,0,0,0,0,0,0,0,0,0.45294123860368596,33
194,Agency_20,SKU_07,8.85,2013-01-01,492612703,718394219,22.21973684,1104.1122560000001,1104.1122560000001,0.0,1825752,102317,0,0,1,0,0,0,0,0,0,0,0,0,0.0,108
193,Agency_56,SKU_01,2999.16,2013-01-01,492612703,718394219,21.20731707,1139.808957,1058.1999119999998,81.609045,1901290,206553,0,0,1,0,0,0,0,0,0,0,0,0,7.159888023234756,71
192,Agency_24,SKU_05,433.6893,2013-01-01,492612703,718394219,25.845238100000003,1310.1760570000001,1195.790835,114.385222,42122,93027,0,0,1,0,0,0,0,0,0,0,0,0,8.730523000238279,85
191,Agency_20,SKU_01,3764.0159999999996,2013-01-01,492612703,718394219,22.21973684,1167.2676310000002,1058.8831,108.38453100000001,1825752,102317,0,0,1,0,0,0,0,0,0,0,0,0,9.285319674901531,101
190,Agency_34,SKU_03,2.1996,2013-01-01,492612703,718394219,24.6,1159.148936,1114.5662849999999,44.582651,12271,97222,0,0,1,0,0,0,0,0,0,0,0,0,3.846153812973003,110
189,Agency_24,SKU_02,92.016,2013-01-01,492612703,718394219,25.845238100000003,1167.0,1066.566902,100.433098,42122,93027,0,0,1,0,0,0,0,0,0,0,0,0,8.60609237360754,86
188,Agency_02,SKU_05,2629.2933,2013-01-01,492612703,718394219,22.14791667,1291.025776,1117.887419,173.138357,3137874,240809,0,0,1,0,0,0,0,0,0,0,0,0,13.410914035848034,65
187,Agency_54,SKU_15,0.0,2013-01-01,492612703,718394219,21.75438596,0.0,0.0,0.0,48332,122313,0,0,1,0,0,0,0,0,0,0,0,0,0.0,118
195,Agency_12,SKU_04,1786.0689,2013-01-01,492612703,718394219,22.21973684,1758.565154,1607.6835609999998,150.88159299999998,1596955,205376,0,0,1,0,0,0,0,0,0,0,0,0,8.579812505485366,77
186,Agency_09,SKU_05,1435.9608,2013-01-01,492612703,718394219,30.82888889,1329.358551,1195.088612,134.269939,1646094,213511,0,0,1,0,0,0,0,0,0,0,0,0,10.100355460834583,51
184,Agency_24,SKU_01,3.78,2013-01-01,492612703,718394219,25.845238100000003,1167.0,1059.317857,107.682143,42122,93027,0,0,1,0,0,0,0,0,0,0,0,0,9.227261610968295,82
183,Agency_30,SKU_03,8437.8348,2013-01-01,492612703,718394219,26.40169492,1271.468267,1121.338131,150.13013600000002,1094349,247220,0,0,1,0,0,0,0,0,0,0,0,0,11.807619576242246,121
182,Agency_02,SKU_02,8422.164,2013-01-01,492612703,718394219,22.14791667,1076.4085929999999,994.1781096000001,82.2304834,3137874,240809,0,0,1,0,0,0,0,0,0,0,0,0,7.639337323647695,66
181,Agency_54,SKU_14,0.0,2013-01-01,492612703,718394219,21.75438596,0.0,0.0,0.0,48332,122313,0,0,1,0,0,0,0,0,0,0,0,0,0.0,117
180,Agency_09,SKU_02,1362.636,2013-01-01,492612703,718394219,30.82888889,1143.295601,1015.837582,127.458019,1646094,213511,0,0,1,0,0,0,0,0,0,0,0,0,11.148299607600782,52
179,Agency_44,SKU_02,0.0,2013-01-01,492612703,718394219,21.76637931,0.0,0.0,0.0,31613,121781,0,0,1,0,0,0,0,0,0,0,0,0,0.0,130
178,Agency_30,SKU_08,92.5272,2013-01-01,492612703,718394219,26.40169492,1492.310381,1464.569909,27.740471999999997,1094349,247220,0,0,1,0,0,0,0,0,0,0,0,0,1.8588942590757194,125
177,Agency_10,SKU_23,0.0,2013-01-01,492612703,718394219,25.36,0.0,0.0,0.0,1716027,117463,0,0,1,0,0,0,0,0,0,0,0,0,0.0,136
185,Agency_44,SKU_05,0.0,2013-01-01,492612703,718394219,21.76637931,0.0,0.0,0.0,31613,121781,0,0,1,0,0,0,0,0,0,0,0,0,0.0,129
218,Agency_02,SKU_31,92.4825,2013-01-01,492612703,718394219,22.14791667,1101.9050849999999,1101.9050849999999,0.0,3137874,240809,0,0,1,0,0,0,0,0,0,0,0,0,0.0,68
196,Agency_18,SKU_03,0.0,2013-01-01,492612703,718394219,30.59489796,0.0,0.0,0.0,60189,135477,0,0,1,0,0,0,0,0,0,0,0,0,0.0,141
198,Agency_44,SKU_04,0.0,2013-01-01,492612703,718394219,21.76637931,0.0,0.0,0.0,31613,121781,0,0,1,0,0,0,0,0,0,0,0,0,0.0,127
216,Agency_09,SKU_27,0.0,2013-01-01,492612703,718394219,30.82888889,0.0,0.0,0.0,1646094,213511,0,0,1,0,0,0,0,0,0,0,0,0,0.0,54
215,Agency_44,SKU_03,0.0,2013-01-01,492612703,718394219,21.76637931,0.0,0.0,0.0,31613,121781,0,0,1,0,0,0,0,0,0,0,0,0,0.0,128
214,Agency_32,SKU_14,0.0,2013-01-01,492612703,718394219,21.75438596,0.0,0.0,0.0,1199179,126063,0,0,1,0,0,0,0,0,0,0,0,0,0.0,149
213,Agency_02,SKU_12,69.825,2013-01-01,492612703,718394219,22.14791667,1116.27,1116.27,0.0,3137874,240809,0,0,1,0,0,0,0,0,0,0,0,0,0.0,69
212,Agency_48,SKU_01,3195.3820739999996,2013-01-01,492612703,718394219,24.05289256,1221.543089,1183.496439,38.04665,1739969,210213,0,0,1,0,0,0,0,0,0,0,0,0,3.1146383899684116,150
211,Agency_28,SKU_01,8.1,2013-01-01,492612703,718394219,29.96875,1175.0625,1171.929167,3.1333330000000004,68666,133669,0,0,1,0,0,0,0,0,0,0,0,0,0.2666524546566672,28
210,Agency_24,SKU_04,44.0271,2013-01-01,492612703,718394219,25.845238100000003,1742.1126760000002,1592.180288,149.93238799999997,42122,93027,0,0,1,0,0,0,0,0,0,0,0,0,8.606354231016454,83
209,Agency_02,SKU_11,0.0,2013-01-01,492612703,718394219,22.14791667,0.0,0.0,0.0,3137874,240809,0,0,1,0,0,0,0,0,0,0,0,0,0.0,70
197,Agency_10,SKU_21,0.0,2013-01-01,492612703,718394219,25.36,0.0,0.0,0.0,1716027,117463,0,0,1,0,0,0,0,0,0,0,0,0,0.0,138
208,Agency_59,SKU_04,1948.6305,2013-01-01,492612703,718394219,22.21973684,1769.206338,1473.4902359999999,295.716102,1219986,218902,0,0,1,0,0,0,0,0,0,0,0,0,16.71461918536265,8
206,Agency_56,SKU_05,76.5522,2013-01-01,492612703,718394219,21.20731707,1290.50523,1244.505797,45.999433,1901290,206553,0,0,1,0,0,0,0,0,0,0,0,0,3.564451497806018,74
205,Agency_19,SKU_03,62.604,2013-01-01,492612703,718394219,26.40169492,1370.18617,1273.916767,96.269403,48146,122042,0,0,1,0,0,0,0,0,0,0,0,0,7.026008954680954,161
204,Agency_09,SKU_04,3270.0825,2013-01-01,492612703,718394219,30.82888889,1760.2852670000002,1525.10062,235.184647,1646094,213511,0,0,1,0,0,0,0,0,0,0,0,0,13.360598501220085,49
203,Agency_32,SKU_03,631.962,2013-01-01,492612703,718394219,21.75438596,1238.935874,1188.81497,50.120903999999996,1199179,126063,0,0,1,0,0,0,0,0,0,0,0,0,4.04548008107803,146
202,Agency_20,SKU_02,8410.284,2013-01-01,492612703,718394219,22.21973684,1166.680919,1057.56548,109.115439,1825752,102317,0,0,1,0,0,0,0,0,0,0,0,0,9.352637659791881,105
201,Agency_57,SKU_04,2097.4536,2013-01-01,492612703,718394219,22.21973684,1766.877293,1610.70411,156.173183,2212416,187351,0,0,1,0,0,0,0,0,0,0,0,0,8.838937690734134,36
200,Agency_56,SKU_02,692.928,2013-01-01,492612703,718394219,21.20731707,1105.146315,1013.3014199999999,91.844895,1901290,206553,0,0,1,0,0,0,0,0,0,0,0,0,8.31065477515527,75
199,Agency_19,SKU_08,3.3228,2013-01-01,492612703,718394219,26.40169492,1497.359155,1140.909369,356.44978599999996,48146,122042,0,0,1,0,0,0,0,0,0,0,0,0,23.805229681184937,164
207,Agency_20,SKU_05,3281.3289,2013-01-01,492612703,718394219,22.21973684,1310.146722,1190.4869119999998,119.65981000000001,1825752,102317,0,0,1,0,0,0,0,0,0,0,0,0,9.133313696143416,104
176,Agency_19,SKU_04,140.7717,2013-01-01,492612703,718394219,26.40169492,1814.0492960000001,1641.902185,172.14711100000002,48146,122042,0,0,1,0,0,0,0,0,0,0,0,0,9.489660031818673,160
262,Agency_43,SKU_04,372.537,2013-01-01,492612703,718394219,21.76637931,1735.647461,1555.3026619999998,180.344799,184082,106262,0,0,1,0,0,0,0,0,0,0,0,0,10.390635371084727,97
264,Agency_59,SKU_17,0.0,2013-01-01,492612703,718394219,22.21973684,0.0,0.0,0.0,1219986,218902,0,0,1,0,0,0,0,0,0,0,0,0,0.0,13
326,Agency_27,SKU_03,1570.8528,2013-01-01,492612703,718394219,27.8425,1293.600388,1131.9922080000001,161.60818,1588818,218862,0,0,1,0,0,0,0,0,0,0,0,0,12.492898231876536,167
325,Agency_29,SKU_08,2.6838,2013-01-01,492612703,718394219,27.85,1535.372233,1520.684105,14.688128,28329,93614,0,0,1,0,0,0,0,0,0,0,0,0,0.9566493182764235,178
324,Agency_21,SKU_02,39.744,2013-01-01,492612703,718394219,25.845238100000003,1167.0,1070.408797,96.59120300000001,26635,130092,0,0,1,0,0,0,0,0,0,0,0,0,8.276881148243358,183
323,Agency_60,SKU_04,2201.0355,2013-01-01,492612703,718394219,22.21973684,1771.337125,1637.0731759999999,134.263949,2180611,211936,0,0,1,0,0,0,0,0,0,0,0,0,7.579807768100609,186
322,Agency_26,SKU_05,0.0,2013-01-01,492612703,718394219,18.855,0.0,0.0,0.0,32267,91330,0,0,1,0,0,0,0,0,0,0,0,0,0.0,195
321,Agency_27,SKU_08,187.227,2013-01-01,492612703,718394219,27.8425,1441.510699,1330.4676259999999,111.04307299999999,1588818,218862,0,0,1,0,0,0,0,0,0,0,0,0,7.703243068333272,171
320,Agency_26,SKU_01,0.0,2013-01-01,492612703,718394219,18.855,0.0,0.0,0.0,32267,91330,0,0,1,0,0,0,0,0,0,0,0,0,0.0,192
319,Agency_29,SKU_06,12.095999999999998,2013-01-01,492612703,718394219,27.85,1128.0440839999999,1091.513393,36.530691,28329,93614,0,0,1,0,0,0,0,0,0,0,0,0,3.2384098740594967,176
327,Agency_21,SKU_05,206.8443,2013-01-01,492612703,718394219,25.845238100000003,1310.1760570000001,1198.194958,111.981099,26635,130092,0,0,1,0,0,0,0,0,0,0,0,0,8.547026821449538,182
318,Agency_03,SKU_03,6899.7222,2013-01-01,492612703,718394219,21.20731707,1260.720158,1148.0758449999998,112.64431299999998,1538040,217280,0,0,1,0,0,0,0,0,0,0,0,0,8.934918053400393,201
316,Agency_26,SKU_02,0.0,2013-01-01,492612703,718394219,18.855,0.0,0.0,0.0,32267,91330,0,0,1,0,0,0,0,0,0,0,0,0,0.0,196
315,Agency_27,SKU_04,4940.4285,2013-01-01,492612703,718394219,27.8425,1681.512959,1507.638034,173.874925,1588818,218862,0,0,1,0,0,0,0,0,0,0,0,0,10.340385666929611,166
314,Agency_21,SKU_01,36.828,2013-01-01,492612703,718394219,25.845238100000003,1167.0,1070.9424490000001,96.057551,26635,130092,0,0,1,0,0,0,0,0,0,0,0,0,8.231152613538988,179
313,Agency_49,SKU_34,0.0,2013-01-01,492612703,718394219,24.05289256,0.0,0.0,0.0,1880416,154532,0,0,1,0,0,0,0,0,0,0,0,0,0.0,210
312,Agency_03,SKU_04,2332.2222,2013-01-01,492612703,718394219,21.20731707,1743.421488,1554.7859369999999,188.635551,1538040,217280,0,0,1,0,0,0,0,0,0,0,0,0,10.819847770512279,200
311,Agency_29,SKU_05,16.1667,2013-01-01,492612703,718394219,27.85,1624.964789,1541.8405890000001,83.1242,28329,93614,0,0,1,0,0,0,0,0,0,0,0,0,5.115446227678229,175
310,Agency_60,SKU_05,2005.3098,2013-01-01,492612703,718394219,22.21973684,1309.088704,1233.0858289999999,76.002875,2180611,211936,0,0,1,0,0,0,0,0,0,0,0,0,5.805784953133322,188
309,Agency_29,SKU_02,5.724,2013-01-01,492612703,718394219,27.85,1150.5613210000001,1139.661556,10.899764999999999,28329,93614,0,0,1,0,0,0,0,0,0,0,0,0,0.9473432489914196,177
317,Agency_49,SKU_04,3664.8567,2013-01-01,492612703,718394219,24.05289256,1730.855669,1458.611349,272.24432,1880416,154532,0,0,1,0,0,0,0,0,0,0,0,0,15.728886288785066,206
308,Agency_60,SKU_02,2538.1079999999997,2013-01-01,492612703,718394219,22.21973684,1222.82582,1133.712394,89.113426,2180611,211936,0,0,1,0,0,0,0,0,0,0,0,0,7.287499539386566,189
328,Agency_21,SKU_04,19.2978,2013-01-01,492612703,718394219,25.845238100000003,1742.1126760000002,1624.61186,117.50081599999999,26635,130092,0,0,1,0,0,0,0,0,0,0,0,0,6.744731131271556,180
330,Agency_60,SKU_23,0.0,2013-01-01,492612703,718394219,22.21973684,0.0,0.0,0.0,2180611,211936,0,0,1,0,0,0,0,0,0,0,0,0,0.0,190
348,Agency_27,SKU_01,1155.816,2013-01-01,492612703,718394219,27.8425,1091.9819300000001,983.9066535000001,108.07527649999999,1588818,218862,0,0,1,0,0,0,0,0,0,0,0,0,9.897167117041944,165
347,Agency_03,SKU_01,3546.72,2013-01-01,492612703,718394219,21.20731707,1159.493185,1084.36514,75.128045,1538040,217280,0,0,1,0,0,0,0,0,0,0,0,0,6.479386508856454,199
346,Agency_27,SKU_06,64.908,2013-01-01,492612703,718394219,27.8425,992.8490616,912.4412166000001,80.407845,1588818,218862,0,0,1,0,0,0,0,0,0,0,0,0,8.098697789009423,169
345,Agency_04,SKU_01,21.816,2013-01-01,492612703,718394219,21.20731707,1141.983911,1096.7128710000002,45.27104,50753,117957,0,0,1,0,0,0,0,0,0,0,0,0,3.964244991889382,213
344,Agency_03,SKU_02,972.324,2013-01-01,492612703,718394219,21.20731707,1116.318424,1070.86027,45.458154,1538040,217280,0,0,1,0,0,0,0,0,0,0,0,0,4.07214939955161,203
343,Agency_27,SKU_02,448.63199999999995,2013-01-01,492612703,718394219,27.8425,1069.386666,969.9940692,99.39259679999999,1588818,218862,0,0,1,0,0,0,0,0,0,0,0,0,9.294355349667319,170
342,Agency_04,SKU_05,14.2497,2013-01-01,492612703,718394219,21.20731707,1302.316522,998.5440222000001,303.7724998,50753,117957,0,0,1,0,0,0,0,0,0,0,0,0,23.32555063752773,216
341,Agency_27,SKU_05,74.0601,2013-01-01,492612703,718394219,27.8425,1534.469683,1433.170888,101.298795,1588818,218862,0,0,1,0,0,0,0,0,0,0,0,0,6.601550758692963,168
329,Agency_29,SKU_03,0.0,2013-01-01,492612703,718394219,27.85,0.0,0.0,0.0,28329,93614,0,0,1,0,0,0,0,0,0,0,0,0,0.0,174
340,Agency_04,SKU_02,71.49600000000001,2013-01-01,492612703,718394219,21.20731707,1098.7148789999999,1015.7182779999999,82.996601,50753,117957,0,0,1,0,0,0,0,0,0,0,0,0,7.553970787720625,217
338,Agency_04,SKU_03,389.6676,2013-01-01,492612703,718394219,21.20731707,1250.766507,1083.973217,166.79328999999998,50753,117957,0,0,1,0,0,0,0,0,0,0,0,0,13.335285927991352,215
337,Agency_03,SKU_05,854.0235,2013-01-01,492612703,718394219,21.20731707,1308.831071,1187.016518,121.814553,1538040,217280,0,0,1,0,0,0,0,0,0,0,0,0,9.30712570163304,202
336,Agency_26,SKU_04,6.9651,2013-01-01,492612703,718394219,18.855,1734.104858,1559.755782,174.349076,32267,91330,0,0,1,0,0,0,0,0,0,0,0,0,10.054125342863205,193
335,Agency_26,SKU_11,6.816,2013-01-01,492612703,718394219,18.855,1727.667254,1712.550066,15.117188,32267,91330,0,0,1,0,0,0,0,0,0,0,0,0,0.875005760802595,198
334,Agency_21,SKU_21,0.0,2013-01-01,492612703,718394219,25.845238100000003,0.0,0.0,0.0,26635,130092,0,0,1,0,0,0,0,0,0,0,0,0,0.0,184
333,Agency_21,SKU_03,15.9048,2013-01-01,492612703,718394219,25.845238100000003,1256.010638,1147.578089,108.432549,26635,130092,0,0,1,0,0,0,0,0,0,0,0,0,8.633091609212947,181
332,Agency_04,SKU_04,101.4093,2013-01-01,492612703,718394219,21.20731707,1728.659243,1427.842395,300.816848,50753,117957,0,0,1,0,0,0,0,0,0,0,0,0,17.401743531475162,214
331,Agency_49,SKU_03,7969.9122,2013-01-01,492612703,718394219,24.05289256,1331.920748,1178.925511,152.995237,1880416,154532,0,0,1,0,0,0,0,0,0,0,0,0,11.486812351991382,207
339,Agency_26,SKU_18,6.5142,2013-01-01,492612703,718394219,18.855,1272.3670220000001,1199.6601269999999,72.70689499999999,32267,91330,0,0,1,0,0,0,0,0,0,0,0,0,5.714302064015612,197
263,Agency_15,SKU_02,0.0,2013-01-01,492612703,718394219,22.21973684,0.0,0.0,0.0,200260,104564,0,0,1,0,0,0,0,0,0,0,0,0,0.0,95
307,Agency_03,SKU_32,10.0323,2013-01-01,492612703,718394219,21.20731707,1539.52319,1394.347358,145.175832,1538040,217280,0,0,1,0,0,0,0,0,0,0,0,0,9.429921740899532,204
305,Agency_29,SKU_01,1.7280000000000002,2013-01-01,492612703,718394219,27.85,1228.5,1228.5,0.0,28329,93614,0,0,1,0,0,0,0,0,0,0,0,0,0.0,172
282,Agency_05,SKU_21,0.0,2013-01-01,492612703,718394219,24.07901235,0.0,0.0,0.0,3044268,182944,0,0,1,0,0,0,0,0,0,0,0,0,0.0,26
281,Agency_05,SKU_23,0.0,2013-01-01,492612703,718394219,24.07901235,0.0,0.0,0.0,3044268,182944,0,0,1,0,0,0,0,0,0,0,0,0,0.0,25
280,Agency_58,SKU_05,1224.0045,2013-01-01,492612703,718394219,22.21973684,1304.7507269999999,1191.462822,113.28790500000001,1620969,105857,0,0,1,0,0,0,0,0,0,0,0,0,8.682724037294214,221
279,Agency_25,SKU_04,27.9882,2013-01-01,492612703,718394219,25.845238100000003,1743.098109,1602.211557,140.886552,53598,95032,0,0,1,0,0,0,0,0,0,0,0,0,8.082537137328739,227
278,Agency_05,SKU_26,0.0,2013-01-01,492612703,718394219,24.07901235,0.0,0.0,0.0,3044268,182944,0,0,1,0,0,0,0,0,0,0,0,0,0.0,27
277,Agency_58,SKU_02,2128.896,2013-01-01,492612703,718394219,22.21973684,1216.6633980000001,1111.244699,105.418699,1620969,105857,0,0,1,0,0,0,0,0,0,0,0,0,8.664573880770266,222
276,Agency_25,SKU_05,506.9826,2013-01-01,492612703,718394219,25.845238100000003,1316.120807,1202.9623179999999,113.15848899999999,53598,95032,0,0,1,0,0,0,0,0,0,0,0,0,8.597880103266235,229
275,Agency_25,SKU_02,45.251999999999995,2013-01-01,492612703,718394219,25.845238100000003,1180.105609,1079.5678699999999,100.537739,53598,95032,0,0,1,0,0,0,0,0,0,0,0,0,8.519384895153058,230
